Date,Interval,Queue,Total Input,Total Output,AHT (s),Avg. Latency (s),Employee Count Login
1-Feb,0,Alpha,58,69,"35,16","421,42",4
1-Feb,0,Bravo,132,304,"4,26","2813,38",3
1-Feb,0,Charly,16,19,"50,96","506,47",2
1-Feb,0,Delta,6,0,0,0,0
1-Feb,1,Alpha,30,34,"32,29","359,33",3
1-Feb,1,Bravo,111,0,0,0,0
1-Feb,1,Charly,18,17,"39,3",600,1
1-Feb,1,Delta,5,8,"31,01","15256,5",1
1-Feb,2,Alpha,18,16,"26,05","317,81",2
1-Feb,2,Bravo,94,162,"3,51","2508,28",1
1-Feb,2,Charly,9,8,"41,52","470,75",2
1-Feb,2,Delta,0,0,0,0,0
1-Feb,3,Alpha,13,14,"34,17","588,43",4
1-Feb,3,Bravo,52,0,0,0,0
1-Feb,3,Charly,6,8,"51,98","600,75",2
1-Feb,3,Delta,0,0,0,0,0
1-Feb,4,Alpha,17,12,"33,14","366,92",3
1-Feb,4,Bravo,56,137,"4,31","4130,58",1
1-Feb,4,Charly,9,8,"45,56","500,13",2
1-Feb,4,Delta,0,0,0,0,0
1-Feb,5,Alpha,34,32,"28,66",383,3
1-Feb,5,Bravo,84,0,0,0,0
1-Feb,5,Charly,7,8,"47,43","179,63",2
1-Feb,5,Delta,0,0,0,0,0
1-Feb,6,Alpha,46,48,"36,13","131,6",3
1-Feb,6,Bravo,82,184,"4,81","1301,83",2
1-Feb,6,Charly,9,6,"50,41","1022,17",2
1-Feb,6,Delta,0,7,"30,62",22098,1
1-Feb,7,Alpha,88,82,"37,85","81,93",3
1-Feb,7,Bravo,96,96,"5,4","28,77",2
1-Feb,7,Charly,21,2,"23,67","2082,5",1
1-Feb,7,Delta,0,0,0,0,0
1-Feb,8,Alpha,93,77,"34,35","421,64",4
1-Feb,8,Bravo,113,105,"4,17",157,4
1-Feb,8,Charly,29,24,"43,33","3585,67",3
1-Feb,8,Delta,0,0,0,0,0
1-Feb,9,Alpha,134,142,"36,27","349,39",6
1-Feb,9,Bravo,103,109,"4,14","98,27",4
1-Feb,9,Charly,35,7,"40,68","5364,86",2
1-Feb,9,Delta,1,0,0,0,0
